transaction_id,created_at,completed_at,type,source_type,card_name,card_last4,reference,amount,user_amount,settled_amount,exchange_rate,currency,status,linked_transaction_id,fee,merchant,mcc,gateway_ref
"WCW082126621016","21/08/2026 | 01:27 PM","","Rút tiền về ví","Ví","-","","Rút tiền về víT9yD...uWwb (Tron)","-750","750.00 USD","747.75 USD","","USD","Pending","","-2.25 USD","","",""
"TW082026786190","20/08/2026 | 05:46 PM","20/08/2026 | 05:46 PM","Nạp tiền vào ví","Ví","Volcano Ads","xxxx xxxx xxxx 0001","Nạp tiền vào ví từ thẻ ****0001","250","250.00 USD","250.00 USD","-","USD","Success","TW082026786190","","","",""
"TW082026186228","20/08/2026 | 05:36 PM","20/08/2026 | 05:36 PM","Nạp tiền vào ví","Ví","Volcano Ads","xxxx xxxx xxxx 0001","Nạp tiền vào ví từ thẻ ****0001","250","250.00 USD","250.00 USD","-","USD","Success","TW082026186228","","","",""
"WLF15-CD-0038","19/08/2026 | 02:17 AM","19/08/2026 | 02:17 AM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Subscription PADDLE.NET* NOTION","-10","10.00 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0077","18/08/2026 | 06:49 AM","","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Vultr","-18.93","18.93 USD","","NaN = 1 USD","USD","Pending","","NaN undefined","","",""
"WLF15-CD-0144","18/08/2026 | 02:55 AM","18/08/2026 | 02:55 AM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","The Coffee House","-15.88","15.88 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0031","16/08/2026 | 03:34 AM","16/08/2026 | 03:34 AM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","Subscription ADOBE *CREATIVE CLD","-54.99","54.99 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0211","15/08/2026 | 04:30 PM","20/08/2026 | 05:46 PM","Rút tiền từ thẻ","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Withdraw to bank","-250","250.00 USD","250.00 USD","","USD","Success","WLF15-CD-0211","","","",""
"WLF15-WL-0057","15/08/2026 | 04:30 PM","15/08/2026 | 04:30 PM","Tham chiếu","Ví","-","","Rút về ngân hàng (đang xử lý)","-250","250.00 USD","","-","USD","Success","","","","",""
"WLF15-CD-0087","14/08/2026 | 01:45 PM","14/08/2026 | 01:45 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Namecheap","-56.85","56.85 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
